"Year","Nuclear","Renewables","Coal","Gas","Oil","Pumped Hydro"
2000,85063,10361,119950,148077,2604,613
2001,90093,10067,131461,141906,2375,534
2002,87848,11672,124279,152277,2210,622
2003,88686,11207,138459,148883,2034,670
2004,79999.1,14126.4,135432.7,157064.3,3765.6,2648.6
2005,81618.1,16940.4,138891.3,152642.2,5338.1,2929.8
2006,75450.7,18106,152871.6,140827.6,6173.1,3852.6
2007,63028.3,19689.7,139411.1,165793.1,5048.3,3859.2
2008,52485.8,21819.9,127570,176219,6708.8,4088.9
2009,69097.7,25208,106233.8,166499.3,5994.5,3685.3
2010,62139.7,26180.4,110138.7,175653.8,4805.4,3150.4
2011,68980.4,35212.3,111265.8,146499.4,3118.9,2905.6
2012,70405.1,41248.7,146192.9,100169.5,2891.2,2966.5
2013,70606.9,53213.4,133650,95842.8,2066.2,2903.9
2014,63748,64522.4,104130.3,100892.2,1920.1,2883.5
2015,70344.9,83364.9,80514.7,99875.4,2037.1,2739.4
2016,71726.1,83127.2,36242.1,143355.8,1890.4,2959.2
2017,70336.4,99329.8,27750,136745.4,1614.5,2872
