"LACode","Local Authority","All Chargers","Rapid Chargers","Year"
"S12000005","Clackmannanshire","22","3","January 2022"
"S12000006","Dumfries & Galloway","102","32","January 2022"
"S12000008","East Ayrshire","74","18","January 2022"
"S12000010","East Lothian","128","24","January 2022"
"S12000011","East Renfrewshire","24","7","January 2022"
"S12000013","Na h-Eileanan Siar","28","7","January 2022"
"S12000014","Falkirk","54","12","January 2022"
"S12000017","Highland","231","83","January 2022"
"S12000018","Inverclyde","34","5","January 2022"
"S12000019","Midlothian","60","12","January 2022"
"S12000020","Moray","48","8","January 2022"
"S12000021","North Ayrshire","53","18","January 2022"
"S12000023","Orkney Islands","40","10","January 2022"
"S12000026","Scottish Borders","56","20","January 2022"
"S12000027","Shetland Islands","21","2","January 2022"
"S12000028","South Ayrshire","58","12","January 2022"
"S12000029","South Lanarkshire","150","45","January 2022"
"S12000030","Stirling","119","23","January 2022"
"S12000033","Aberdeen City","103","25","January 2022"
"S12000034","Aberdeenshire","117","20","January 2022"
"S12000035","Argyll & Bute","86","20","January 2022"
"S12000036","City of Edinburgh","178","26","January 2022"
"S12000038","Renfrewshire","71","21","January 2022"
"S12000039","West Dunbartonshire","26","4","January 2022"
"S12000040","West Lothian","47","10","January 2022"
"S12000041","Angus","77","24","January 2022"
"S12000042","Dundee City","130","42","January 2022"
"S12000045","East Dunbartonshire","25","4","January 2022"
"S12000047","Fife","117","19","January 2022"
"S12000048","Perth & Kinross","129","45","January 2022"
"S12000049","Glasgow City","240","34","January 2022"
"S12000050","North Lanarkshire","168","72","January 2022"
"S92000003","SCOTLAND","2816","707","January 2022"
