Quarter,East Midlands,Eastern,Great Britain,London,Merseyside & North Wales,North East,North Scotland,North West,South East,South Scotland,South Wales,South West,Southern,West Midlands,Yorkshire
2016-09-01T00:00:00Z,0.347336718781037,0.329653615806413,0.321148173970988,0.228350739450371,0.334634112300992,0.367635342864049,0.251994474559457,0.35174997206522,0.34271359113181804,0.315394036379299,0.239941289637787,0.335122861450721,0.297393003063992,0.33479586969874603,0.362901571435963
2016-12-01T00:00:00Z,0.363591386583863,0.34308003751230404,0.336459844741073,0.241567079850547,0.346805573916894,0.385942740817149,0.26444974324979503,0.366099995983327,0.362956049395855,0.32603412483712196,0.254618538294557,0.352884740764994,0.31282965747306496,0.35328867760690896,0.378936364425078
2017-03-01T00:00:00Z,0.364944942411028,0.34720784806294197,0.33704102536310204,0.229617650623441,0.346042393295595,0.393019703204888,0.264511671067462,0.359657911949809,0.35671980230092504,0.328260875562815,0.255284704446441,0.351100141125412,0.314902643191848,0.36190168617535695,0.38615104332220596
2017-06-01T00:00:00Z,0.387,0.368,0.35600000000000004,0.24,0.361,0.413,0.275,0.386,0.374,0.349,0.278,0.371,0.33399999999999996,0.37799999999999995,0.41100000000000003
2017-09-01T00:00:00Z,0.39991,0.36951999999999996,0.35607999999999995,0.24678,0.37479,0.4285,0.25415,0.40389,0.37172,0.35121,0.29325,0.3776,0.33866,0.39205,0.42869
2017-12-01T00:00:00Z,0.39333246079121,0.379545857026601,0.35620616072235994,0.239605637447355,0.345609957933003,0.395002812923131,0.292430956392983,0.371363681245231,0.36757402370736003,0.345594102849974,0.295931806860541,0.37125238412405,0.35017100499105097,0.37685289618689505,0.38858505783484804
2018-03-01T00:00:00Z,0.400874936107327,0.39193312920394,0.37037228758358304,0.250436071012864,0.36248377799762305,0.42002770798794403,0.27554806948718197,0.396628276444298,0.383930559877533,0.351127988884187,0.29071058380625703,0.378225222652788,0.367092761388533,0.39920904098086296,0.406226037281573
2018-06-01T00:00:00Z,0.40236273233915704,0.396488049495682,0.371335370929606,0.252429420315256,0.36851876140235396,0.41195754726094996,0.286401866060345,0.38826127224595197,0.39374985833947695,0.349520636112613,0.291988504800118,0.39262105651662305,0.37206824000437,0.391430316896781,0.39896160854253404
2018-09-01T00:00:00Z,0.4,0.38,0.37,0.26,0.36,0.41,0.3,0.38,0.39,0.36,0.29,0.39,0.38,0.39,0.4
2018-12-01T00:00:00Z,0.41,0.4,0.39,0.27,0.38,0.43,0.31,0.4,0.41,0.38,0.31,0.41,0.39,0.41,0.41
2019-03-01T00:00:00Z,0.42,0.41,0.4,0.27,0.4,0.44,0.33,0.41,0.42,0.38,0.33,0.43,0.4,0.42,0.42
2019-06-01T00:00:00Z,0.42,0.42,0.4,0.27,0.4,0.45,0.33,0.41,0.43,0.39,0.35,0.43,0.41,0.43,0.42
2019-09-01T00:00:00Z,0.42,0.41,0.4,0.28,0.4,0.44,0.36,0.41,0.42,0.39,0.35,0.43,0.41,0.42,0.42
2019-12-01T00:00:00Z,0.44,0.42,0.41,0.29,0.41,0.45,0.38,0.42,0.42,0.4,0.37,0.45,0.42,0.43,0.44
2020-03-01T00:00:00Z,0.47,0.45,0.43,0.33,0.43,0.48,0.38,0.44,0.45,0.41,0.38,0.46,0.43,0.46,0.46
2020-06-01T00:00:00Z,0.47,0.46,0.44,0.33,0.43,0.48,0.38,0.45,0.45,0.41,0.38,0.46,0.43,0.46,0.46
2020-09-01T00:00:00Z,0.47,0.45,0.43,0.32,0.43,0.48,0.38,0.44,0.45,0.4,0.37,0.46,0.42,0.46,0.45
2020-12-01T00:00:00Z,0.47,0.45,0.43,0.32,0.42,0.47,0.37,0.44,0.44,0.4,0.36,0.45,0.42,0.45,0.45
2021-03-01T00:00:00Z,0.47,0.45,0.43,0.33,0.43,0.46,0.37,0.43,0.45,0.4,0.36,0.46,0.42,0.44,0.45
2021-06-01T00:00:00Z,0.44,0.43,0.4,0.31,0.4,0.43,0.35,0.42,0.42,0.38,0.33,0.43,0.4,0.41,0.41
2021-09-01T00:00:00Z,0.44,0.43,0.39,0.28,0.39,0.43,0.33,0.4,0.42,0.38,0.33,0.43,0.38,0.41,0.4
2021-12-01T00:00:00Z,0.37,0.4,0.36,0.25,0.31,0.36,0.41,0.34,0.37,0.31,0.38,0.37,0.42,0.38,0.33
2022-03-01T00:00:00Z,0.33,0.34,0.34,0.24,0.3,0.33,0.46,0.3,0.35,0.32,0.41,0.35,0.43,0.32,0.3
