Region,Year,variable,value
East Midlands,2017,Prepayment,582.5135152709088
Eastern,2017,Prepayment,589.2525677428182
London,2017,Prepayment,578.9687942479499
Merseyside & North Wales,2017,Prepayment,627.7819092341779
North East,2017,Prepayment,596.1260619369758
North Scotland,2017,Prepayment,645.1726594348775
North West,2017,Prepayment,591.7810671841478
Northern Ireland,2017,Prepayment,518.6898740709622
South East,2017,Prepayment,604.216386145168
South Scotland,2017,Prepayment,588.044833174694
South Wales,2017,Prepayment,617.8531916940935
South West,2017,Prepayment,634.2291146228196
Southern,2017,Prepayment,597.8470893149978
West Midlands,2017,Prepayment,594.4792281921771
Yorkshire,2017,Prepayment,583.5481567849005
United Kingdom,2017,Prepayment,591.860649963404
East Midlands,2018,Prepayment,610
Eastern,2018,Prepayment,624
London,2018,Prepayment,600
Merseyside & North Wales,2018,Prepayment,647
North East,2018,Prepayment,621
North Scotland,2018,Prepayment,669
North West,2018,Prepayment,616
Northern Ireland,2018,Prepayment,573
South East,2018,Prepayment,636
South Scotland,2018,Prepayment,619
South Wales,2018,Prepayment,642
South West,2018,Prepayment,658
Southern,2018,Prepayment,623
West Midlands,2018,Prepayment,624
Yorkshire,2018,Prepayment,609
United Kingdom,2018,Prepayment,620
East Midlands,2019,Prepayment,687.8388139626064
Eastern,2019,Prepayment,704.6250317116335
London,2019,Prepayment,685.1104829222354
Merseyside & North Wales,2019,Prepayment,736.2564097995042
North East,2019,Prepayment,696.5738051237869
North Scotland,2019,Prepayment,726.1070100120464
North West,2019,Prepayment,699.439562635542
Northern Ireland,2019,Prepayment,642.4820210325948
South East,2019,Prepayment,716.1490907125382
South Scotland,2019,Prepayment,698.4666096977008
South Wales,2019,Prepayment,718.1598134266842
South West,2019,Prepayment,729.1954431786771
Southern,2019,Prepayment,697.8508673565029
West Midlands,2019,Prepayment,701.0724878330315
Yorkshire,2019,Prepayment,687.4238686423181
United Kingdom,2019,Prepayment,699.3055378520957
East Midlands,2020,Prepayment,703
Eastern,2020,Prepayment,724
London,2020,Prepayment,712
Merseyside & North Wales,2020,Prepayment,763
North East,2020,Prepayment,715
North Scotland,2020,Prepayment,742
North West,2020,Prepayment,713
Northern Ireland,2020,Prepayment,676
South East,2020,Prepayment,741
South Scotland,2020,Prepayment,714
South Wales,2020,Prepayment,736
South West,2020,Prepayment,746
Southern,2020,Prepayment,713
West Midlands,2020,Prepayment,714
Yorkshire,2020,Prepayment,709
United Kingdom,2020,Prepayment,721
East Midlands,2021,Prepayment,767
Eastern,2021,Prepayment,789
London,2021,Prepayment,783
Merseyside & North Wales,2021,Prepayment,828
North East,2021,Prepayment,770
North Scotland,2021,Prepayment,801
North West,2021,Prepayment,766
Northern Ireland,2021,Prepayment,699
South East,2021,Prepayment,809
South Scotland,2021,Prepayment,772
South Wales,2021,Prepayment,794
South West,2021,Prepayment,815
Southern,2021,Prepayment,777
West Midlands,2021,Prepayment,782
Yorkshire,2021,Prepayment,773
United Kingdom,2021,Prepayment,779
East Midlands,2022p,Prepayment,1206
Eastern,2022p,Prepayment,1247
London,2022p,Prepayment,1216
Merseyside & North Wales,2022p,Prepayment,1306
North East,2022p,Prepayment,1195
North Scotland,2022p,Prepayment,1243
North West,2022p,Prepayment,1216
Northern Ireland,2022p,Prepayment,1055
South East,2022p,Prepayment,1254
South Scotland,2022p,Prepayment,1245
South Wales,2022p,Prepayment,1259
South West,2022p,Prepayment,1241
Southern,2022p,Prepayment,1247
West Midlands,2022p,Prepayment,1237
Yorkshire,2022p,Prepayment,1219
United Kingdom,2022p,Prepayment,1225
East Midlands,2017,Standard Credit,621.6477099312208
Eastern,2017,Standard Credit,630.6127398676899
London,2017,Standard Credit,644.3543924812805
Merseyside & North Wales,2017,Standard Credit,680.5115823406697
North East,2017,Standard Credit,643.0694852452372
North Scotland,2017,Standard Credit,689.5299206457437
North West,2017,Standard Credit,639.5376827303703
Northern Ireland,2017,Standard Credit,528.9400549566645
South East,2017,Standard Credit,653.5490319423612
South Scotland,2017,Standard Credit,631.5073001607634
South Wales,2017,Standard Credit,669.208101079981
South West,2017,Standard Credit,686.0820438971948
Southern,2017,Standard Credit,643.8213678571313
West Midlands,2017,Standard Credit,643.4782455253815
Yorkshire,2017,Standard Credit,632.1956553274863
United Kingdom,2017,Standard Credit,641.7630439625652
East Midlands,2018,Standard Credit,674
Eastern,2018,Standard Credit,690
London,2018,Standard Credit,701
Merseyside & North Wales,2018,Standard Credit,726
North East,2018,Standard Credit,692
North Scotland,2018,Standard Credit,735
North West,2018,Standard Credit,684
Northern Ireland,2018,Standard Credit,582
South East,2018,Standard Credit,717
South Scotland,2018,Standard Credit,687
South Wales,2018,Standard Credit,709
South West,2018,Standard Credit,745
Southern,2018,Standard Credit,700
West Midlands,2018,Standard Credit,697
Yorkshire,2018,Standard Credit,684
United Kingdom,2018,Standard Credit,695
East Midlands,2019,Standard Credit,737.4436584299428
Eastern,2019,Standard Credit,760.3689587945198
London,2019,Standard Credit,744.596153346107
Merseyside & North Wales,2019,Standard Credit,793.2952945181464
North East,2019,Standard Credit,741.855550056814
North Scotland,2019,Standard Credit,781.7694149557485
North West,2019,Standard Credit,750.4996742816971
Northern Ireland,2019,Standard Credit,648.3825875864094
South East,2019,Standard Credit,774.3833767918678
South Scotland,2019,Standard Credit,750.7913068734521
South Wales,2019,Standard Credit,772.1082509466818
South West,2019,Standard Credit,784.2701094326668
Southern,2019,Standard Credit,756.0491849303821
West Midlands,2019,Standard Credit,751.997432957748
Yorkshire,2019,Standard Credit,736.5309798180189
United Kingdom,2019,Standard Credit,753.0198171888715
East Midlands,2020,Standard Credit,739
Eastern,2020,Standard Credit,761
London,2020,Standard Credit,752
Merseyside & North Wales,2020,Standard Credit,799
North East,2020,Standard Credit,747
North Scotland,2020,Standard Credit,784
North West,2020,Standard Credit,746
Northern Ireland,2020,Standard Credit,660
South East,2020,Standard Credit,782
South Scotland,2020,Standard Credit,749
South Wales,2020,Standard Credit,775
South West,2020,Standard Credit,787
Southern,2020,Standard Credit,754
West Midlands,2020,Standard Credit,749
Yorkshire,2020,Standard Credit,742
United Kingdom,2020,Standard Credit,755
East Midlands,2021,Standard Credit,802
Eastern,2021,Standard Credit,827
London,2021,Standard Credit,821
Merseyside & North Wales,2021,Standard Credit,868
North East,2021,Standard Credit,811
North Scotland,2021,Standard Credit,844
North West,2021,Standard Credit,808
Northern Ireland,2021,Standard Credit,707
South East,2021,Standard Credit,849
South Scotland,2021,Standard Credit,810
South Wales,2021,Standard Credit,846
South West,2021,Standard Credit,852
Southern,2021,Standard Credit,820
West Midlands,2021,Standard Credit,822
Yorkshire,2021,Standard Credit,811
United Kingdom,2021,Standard Credit,821
East Midlands,2022p,Standard Credit,1302
Eastern,2022p,Standard Credit,1342
London,2022p,Standard Credit,1298
Merseyside & North Wales,2022p,Standard Credit,1397
North East,2022p,Standard Credit,1285
North Scotland,2022p,Standard Credit,1323
North West,2022p,Standard Credit,1310
Northern Ireland,2022p,Standard Credit,1099
South East,2022p,Standard Credit,1328
South Scotland,2022p,Standard Credit,1335
South Wales,2022p,Standard Credit,1336
South West,2022p,Standard Credit,1316
Southern,2022p,Standard Credit,1323
West Midlands,2022p,Standard Credit,1323
Yorkshire,2022p,Standard Credit,1303
United Kingdom,2022p,Standard Credit,1314
East Midlands,2017,Direct Debit,557.0569042740894
Eastern,2017,Direct Debit,563.2601772696296
London,2017,Direct Debit,581.3459086297212
Merseyside & North Wales,2017,Direct Debit,608.6504828774216
North East,2017,Direct Debit,570.5288224489497
North Scotland,2017,Direct Debit,623.247542801898
North West,2017,Direct Debit,574.4546432773053
Northern Ireland,2017,Direct Debit,518.9653804838817
South East,2017,Direct Debit,587.4568070325873
South Scotland,2017,Direct Debit,565.6918283649206
South Wales,2017,Direct Debit,604.5375659591616
South West,2017,Direct Debit,618.4671038576525
Southern,2017,Direct Debit,573.9997938297674
West Midlands,2017,Direct Debit,569.0427106657032
Yorkshire,2017,Direct Debit,556.4274401395357
United Kingdom,2017,Direct Debit,575.8308635545604
East Midlands,2018,Direct Debit,608
Eastern,2018,Direct Debit,622
London,2018,Direct Debit,632
Merseyside & North Wales,2018,Direct Debit,657
North East,2018,Direct Debit,622
North Scotland,2018,Direct Debit,673
North West,2018,Direct Debit,619
Northern Ireland,2018,Direct Debit,545
South East,2018,Direct Debit,644
South Scotland,2018,Direct Debit,623
South Wales,2018,Direct Debit,649
South West,2018,Direct Debit,671
Southern,2018,Direct Debit,628
West Midlands,2018,Direct Debit,625
Yorkshire,2018,Direct Debit,612
United Kingdom,2018,Direct Debit,628
East Midlands,2019,Direct Debit,664.8650785507077
Eastern,2019,Direct Debit,684.4409268919177
London,2019,Direct Debit,678.4958528254998
Merseyside & North Wales,2019,Direct Debit,715.0266513953305
North East,2019,Direct Debit,672.2472916821183
North Scotland,2019,Direct Debit,712.5332963016313
North West,2019,Direct Debit,677.7463046105427
Northern Ireland,2019,Direct Debit,616.7361085553767
South East,2019,Direct Debit,695.0708363064238
South Scotland,2019,Direct Debit,680.9144025257812
South Wales,2019,Direct Debit,698.7208374028445
South West,2019,Direct Debit,711.3887471740022
Southern,2019,Direct Debit,678.296929708829
West Midlands,2019,Direct Debit,677.2053732585722
Yorkshire,2019,Direct Debit,665.3642334378742
United Kingdom,2019,Direct Debit,681.9878474890983
East Midlands,2020,Direct Debit,667
Eastern,2020,Direct Debit,688
London,2020,Direct Debit,687
Merseyside & North Wales,2020,Direct Debit,726
North East,2020,Direct Debit,677
North Scotland,2020,Direct Debit,716
North West,2020,Direct Debit,676
Northern Ireland,2020,Direct Debit,650
South East,2020,Direct Debit,708
South Scotland,2020,Direct Debit,686
South Wales,2020,Direct Debit,703
South West,2020,Direct Debit,716
Southern,2020,Direct Debit,681
West Midlands,2020,Direct Debit,678
Yorkshire,2020,Direct Debit,675
United Kingdom,2020,Direct Debit,688
East Midlands,2021,Direct Debit,735
Eastern,2021,Direct Debit,757
London,2021,Direct Debit,755
Merseyside & North Wales,2021,Direct Debit,794
North East,2021,Direct Debit,743
North Scotland,2021,Direct Debit,781
North West,2021,Direct Debit,736
Northern Ireland,2021,Direct Debit,697
South East,2021,Direct Debit,777
South Scotland,2021,Direct Debit,747
South Wales,2021,Direct Debit,775
South West,2021,Direct Debit,784
Southern,2021,Direct Debit,751
West Midlands,2021,Direct Debit,751
Yorkshire,2021,Direct Debit,739
United Kingdom,2021,Direct Debit,754
East Midlands,2022p,Direct Debit,1173
Eastern,2022p,Direct Debit,1206
London,2022p,Direct Debit,1189
Merseyside & North Wales,2022p,Direct Debit,1269
North East,2022p,Direct Debit,1151
North Scotland,2022p,Direct Debit,1183
North West,2022p,Direct Debit,1186
Northern Ireland,2022p,Direct Debit,1039
South East,2022p,Direct Debit,1229
South Scotland,2022p,Direct Debit,1190
South Wales,2022p,Direct Debit,1212
South West,2022p,Direct Debit,1215
Southern,2022p,Direct Debit,1197
West Midlands,2022p,Direct Debit,1198
Yorkshire,2022p,Direct Debit,1181
United Kingdom,2022p,Direct Debit,1194
East Midlands,2017,Total,575.0858648725867
Eastern,2017,Total,582.4732639218915
London,2017,Total,601.2624111543315
Merseyside & North Wales,2017,Total,627.1162259722925
North East,2017,Total,590.5771085490039
North Scotland,2017,Total,641.0030864421319
North West,2017,Total,592.2052357993091
Northern Ireland,2017,Total,520.8630526076324
South East,2017,Total,603.4334391198558
South Scotland,2017,Total,583.52220678558206
South Wales,2017,Total,620.8418798821388
South West,2017,Total,634.7998101506272
Southern,2017,Total,590.6231555735562
West Midlands,2017,Total,590.1759806351198
Yorkshire,2017,Total,578.1248437667703
United Kingdom,2017,Total,593.3333533119426
East Midlands,2018,Total,622
Eastern,2018,Total,637
London,2018,Total,646
Merseyside & North Wales,2018,Total,667
North East,2018,Total,636
North Scotland,2018,Total,685
North West,2018,Total,632
Northern Ireland,2018,Total,562
South East,2018,Total,657
South Scotland,2018,Total,635
South Wales,2018,Total,660
South West,2018,Total,683
Southern,2018,Total,641
West Midlands,2018,Total,639
Yorkshire,2018,Total,627
United Kingdom,2018,Total,641
East Midlands,2019,Total,681.2416677649187
Eastern,2019,Total,701.6857940334652
London,2019,Total,698.3973819041395
Merseyside & North Wales,2019,Total,732.2464429601189
North East,2019,Total,688.5041234866859
North Scotland,2019,Total,728.2433665985483
North West,2019,Total,694.7703874174725
Northern Ireland,2019,Total,631.3070106172117
South East,2019,Total,711.2402671538362
South Scotland,2019,Total,697.0350340393117
South Wales,2019,Total,715.7383584340973
South West,2019,Total,725.9657790520437
Southern,2019,Total,693.7467322275038
West Midlands,2019,Total,694.9487488642125
Yorkshire,2019,Total,682.6013415018167
United Kingdom,2019,Total,698.1701915854924
East Midlands,2020,Total,684
Eastern,2020,Total,706
London,2020,Total,709
Merseyside & North Wales,2020,Total,745
North East,2020,Total,695
North Scotland,2020,Total,733
North West,2020,Total,695
Northern Ireland,2020,Total,656
South East,2020,Total,724
South Scotland,2020,Total,702
South Wales,2020,Total,722
South West,2020,Total,731
Southern,2020,Total,697
West Midlands,2020,Total,696
Yorkshire,2020,Total,694
United Kingdom,2020,Total,705
East Midlands,2021,Total,750
Eastern,2021,Total,772
London,2021,Total,777
Merseyside & North Wales,2021,Total,811
North East,2021,Total,757
North Scotland,2021,Total,795
North West,2021,Total,753
Northern Ireland,2021,Total,699
South East,2021,Total,791
South Scotland,2021,Total,762
South Wales,2021,Total,790
South West,2021,Total,798
Southern,2021,Total,764
West Midlands,2021,Total,766
Yorkshire,2021,Total,756
United Kingdom,2021,Total,769
East Midlands,2022p,Total,1198
Eastern,2022p,Total,1234
London,2022p,Total,1222
Merseyside & North Wales,2022p,Total,1296
North East,2022p,Total,1179
North Scotland,2022p,Total,1215
North West,2022p,Total,1212
Northern Ireland,2022p,Total,1054
South East,2022p,Total,1248
South Scotland,2022p,Total,1224
South Wales,2022p,Total,1239
South West,2022p,Total,1234
Southern,2022p,Total,1221
West Midlands,2022p,Total,1225
Yorkshire,2022p,Total,1208
United Kingdom,2022p,Total,1219
