"EmissionYear","Business and Industrial Process","Public","Residential"
"1990",1.16593233951764,1.87664818379812,7.96527692093777
"1995",1.34264357884341,1.8926839530474,7.78188123071191
"1998",1.36130239176861,1.7933597659865,7.88968940828147
"1999",1.42675120369521,1.77740962275767,7.80478178313622
"2000",1.43557204242972,1.64769797749761,7.63999881793615
"2001",1.43104551963832,1.67086003111314,8.11912147638964
"2002",1.20973654537372,1.38935764989323,7.43089302153331
"2003",1.29032194208349,1.37172281687651,7.39813916111307
"2004",1.24796824530527,1.47850920633224,7.55487624510688
"2005",1.24009638984988,1.46596659224793,7.47054030635203
"2006",1.12447549470527,1.31712549779747,7.26920943460705
"2007",1.07818753566297,1.22021517068966,7.04893328776192
"2008",1.36693218198561,1.26192985201081,7.25066956970376
"2009",1.08968953540888,1.14418994174041,6.9651332580969
"2010",1.1780155825381,1.22761840768092,7.80647012347711
"2011",1.03399150299855,1.06386333680314,6.28810092230673
"2012",1.1969231521926,1.1708903669427,6.82466342511663
"2013",1.17527448746362,1.05157232570681,6.86485790346383
"2014",0.978418088500345,0.915283453684176,5.70869661389423
"2015",1.10339189200175,0.92626620028203,5.89823072033182
"2016",1.12456176373585,0.964349596932999,6.00295087132138
"2017",1.12399919260414,0.927647649560861,5.79613868611275
"2018",1.10748303474739,0.955844525597564,5.97470037563377
"2019",1.16930102550142,0.921801067089379,5.71144873869361
"2020",1.00881753012638,0.91175447013039,5.81462764904917
"BaseYear",1.16593233951764,1.87664818379812,7.96527692093777
