"LA","LACode","Application Submitted","Awaiting Construction","Operational","Under Construction"
"Aberdeen City","S12000033",0,0.99,2.2,11.1
"Aberdeenshire","S12000034",239.065,55.27535,515.4,39.628
"Angus","S12000041",0,55.7,33.65,0
"Argyll and Bute","S12000035",265.2,282.5,394.3,86.54
"City of Edinburgh","S12000036",0,0.4,2.4,0
"Clackmannanshire","S12000005",0,0,43,10.8
"Comhairle nan Eilean Siar","S12000013",49.9,417.7,37.8,0
"Dumfries and Galloway","S12000006",1591.515,963,1052.9,119.8
"Dundee City","S12000042",0,2,12.3,10
"East Ayrshire","S12000008",164.4,688.2,382.7,240
"East Lothian","S12000010",0,0.2,168,0
"East Renfrewshire","S12000011",19.2,2.5,361.2,0
"Falkirk","S12000014",0,26.5,40,21.5
"Fife","S12000047",0.5,62.21,195.5,23.7
"Glasgow City","S12000049",18.4,20.2,24.7,0
"Highland","S12000017",1578.83,1918.9,2340.3,66.2
"Inverclyde","S12000018",0,0,24,0
"Midlothian","S12000019",0.15,0,68.6,3
"Moray","S12000020",150,205.8,522.8,0
"North Ayrshire","S12000021",0,44.9,145.8,9
"North Lanarkshire","S12000050",28.1,90.5,64.2,52.2
"Orkney Islands","S12000023",270,135.2,50.2,0
"Perth and Kinross","S12000048",1,60,367,0
"Scottish Borders","S12000026",138,120,765,20
"Shetland Islands","S12000027",202.7,106.9,11.7,443
"South Ayrshire","S12000028",337.4,177,434.6,0
"South Lanarkshire","S12000029",410.799,610.5,1130.8,168.6
"Stirling","S12000030",0,39,183,0
"West Dunbartonshire","S12000039",0,1.6,4.1,0
"West Lothian","S12000040",0,114.92841,138,0
"Offshore",NA,163.05,1250.1,952.2,1925
"Scotland","S92000003",5628.209,7452.70376,10468.35,3250.068
